stno,yyyymmddhh,year,month,day,hour,PS01,PS02,TX01,RH01,WD01,WD02,PP01,SS01,SS02,CD11,altitude,longitude,latitude,start_time,number_of_hour,issue_time,APCP,DSWRF,HCDC,LCDC,MCDC,PRES,PRMSL,RH,TMP,UGRD,VGRD
001,2017070108,2017,7,1,8,645.1,3173.6,9.4,62,4.5,190.0,0.0,1.0,-9997.0,1,3844.8,120.9595,23.4876,2017-07-01 00:00:00 UTC,4352,2017-07-01 00:00:00 UTC,0.0,0.0,0.0,0.0,0.0,72891.47777777778,102024.66666666666,83.24444444444444,288.8300000000001,-0.4891111111111111,0.20666666666666672
001,2017070109,2017,7,1,9,645.3,3175.8,10.1,65,5.1,200.0,0.0,1.0,-9997.0,1,3844.8,120.9595,23.4876,2017-07-01 01:00:00 UTC,4353,2017-07-01 00:00:00 UTC,0.0,645.3555555555556,91.66666666666669,13.133333333333335,25.33333333333333,36476.233333333344,102040.33333333331,86.43333333333332,287.51666666666665,0.93,1.1544444444444446
001,2017070110,2017,7,1,10,645.2,3169.4,14.0,67,2.4,190.0,0.0,1.0,-9997.0,-9999,3844.8,120.9595,23.4876,2017-07-01 02:00:00 UTC,4354,2017-07-01 00:00:00 UTC,0.0,823.3777777777777,96.66666666666669,24.54444444444445,10.988888888888892,36457.76666666667,101991.44444444444,90.96666666666668,287.48222222222233,1.0266666666666666,1.8111111111111111
001,2017070111,2017,7,1,11,645.1,3169.9,12.2,74,2.2,140.0,0.0,0.7,-9997.0,9,3844.8,120.9595,23.4876,2017-07-01 03:00:00 UTC,4355,2017-07-01 00:00:00 UTC,0.85,502.5555555555555,95.77777777777777,41.888888888888886,25.43333333333333,36450.58888888889,101965.88888888886,95.77777777777777,287.3077777777778,2.8322222222222213,1.6922222222222219
001,2017070112,2017,7,1,12,645.0,3169.1,11.7,80,2.0,180.0,0.0,0.2,-9997.0,-9999,3844.8,120.9595,23.4876,2017-07-01 04:00:00 UTC,4356,2017-07-01 00:00:00 UTC,2.8000000000000003,534.0,93.11111111111113,41.244444444444454,39.333333333333336,36447.938888888886,101990.33333333331,93.61111111111107,286.9011111111111,1.0,1.9444444444444449
001,2017070113,2017,7,1,13,645.0,3170.7,10.4,86,1.8,220.0,0.0,0.1,-9997.0,-9999,3844.8,120.9595,23.4876,2017-07-01 05:00:00 UTC,4357,2017-07-01 00:00:00 UTC,4.4222222222222225,399.77777777777777,98.11111111111113,34.8,56.31111111111111,36440.11111111112,101982.11111111114,94.44444444444444,286.6255555555556,2.8033333333333337,3.291111111111111
001,2017070114,2017,7,1,14,644.5,3162.2,12.3,79,1.2,230.0,0.0,0.1,-9997.0,-9997,3844.8,120.9595,23.4876,2017-07-01 06:00:00 UTC,4358,2017-07-01 00:00:00 UTC,8.655555555555555,333.7555555555556,98.88888888888887,28.18888888888889,55.31111111111111,36428.65,101997.88888888886,89.03333333333332,285.9511111111111,1.8755555555555559,2.3077777777777766
001,2017070115,2017,7,1,15,644.0,3162.8,7.0,95,6.9,190.0,5.5,0.0,-9997.0,-9999,3844.8,120.9595,23.4876,2017-07-01 07:00:00 UTC,4359,2017-07-01 00:00:00 UTC,11.777777777777779,197.6,97.88888888888887,28.288888888888888,52.444444444444436,36458.69444444444,102090.66666666666,84.73333333333333,285.7755555555556,0.5022222222222223,3.1755555555555564
001,2017070116,2017,7,1,16,643.6,3158.0,6.7,91,7.9,170.0,1.0,0.0,-9997.0,-9999,3844.8,120.9595,23.4876,2017-07-01 08:00:00 UTC,4360,2017-07-01 00:00:00 UTC,19.888888888888886,194.11111111111111,97.0,16.144444444444446,40.83333333333333,36463.022222222215,102111.66666666669,92.24444444444444,285.5300000000001,2.0822222222222218,3.4533333333333336
001,2017070117,2017,7,1,17,644.0,3163.9,6.2,89,8.9,180.0,0.0,0.0,-9997.0,9,3844.8,120.9595,23.4876,2017-07-01 09:00:00 UTC,4361,2017-07-01 00:00:00 UTC,21.63333333333333,230.84444444444446,92.88888888888887,16.788888888888884,34.44444444444445,36465.52777777778,102067.0,83.07777777777778,286.50222222222226,-0.4088888888888889,3.0277777777777777
