stno,yyyymmddhh,year,month,day,hour,PS01,PS02,TX01,RH01,WD01,WD02,PP01,SS01,SS02,CD11,altitude,longitude,latitude,start_time,number_of_hour,issue_time,APCP,DSWRF,HCDC,LCDC,MCDC,PRES,PRMSL,RH,TMP,UGRD,VGRD
001,2017080108,2017,8,1,8,642.7,3140.8,9.4,78,10.3,210.0,0.0,0.1,0.87,9,3844.8,120.9595,23.4876,2017-08-01 00:00:00 UTC,5096,2017-08-01 00:00:00 UTC,0.0,0.0,0.0,0.0,0.0,72662.50000000001,101660.22222222225,88.65555555555555,289.0744444444445,0.5166666666666667,0.7944444444444445
001,2017080109,2017,8,1,9,643.0,3145.6,8.5,92,8.4,220.0,0.0,0.0,1.19,10,3844.8,120.9595,23.4876,2017-08-01 01:00:00 UTC,5097,2017-08-01 00:00:00 UTC,0.013555555555555557,364.18888888888887,96.88888888888893,9.066666666666666,99.11111111111114,36348.261111111104,101668.22222222225,91.61111111111113,287.63666666666666,1.5677777777777782,3.7666666666666657
001,2017080110,2017,8,1,10,643.2,3147.3,9.1,96,6.4,250.0,0.0,0.0,1.53,-9999,3844.8,120.9595,23.4876,2017-08-01 02:00:00 UTC,5098,2017-08-01 00:00:00 UTC,0.040777777777777774,468.6777777777778,98.22222222222223,20.766666666666666,95.77777777777777,36371.95555555556,101735.44444444444,93.63333333333334,287.5966666666667,2.4711111111111106,2.2744444444444447
001,2017080111,2017,8,1,11,643.1,3145.2,9.8,97,8.0,250.0,0.0,0.0,1.98,-9999,3844.8,120.9595,23.4876,2017-08-01 03:00:00 UTC,5099,2017-08-01 00:00:00 UTC,0.1411111111111111,465.5555555555555,100.0,29.63333333333333,92.55555555555556,36392.63333333333,101811.33333333331,92.43333333333332,287.43666666666667,3.1566666666666667,3.4133333333333327
001,2017080112,2017,8,1,12,643.1,3144.9,9.9,96,5.8,240.0,0.0,0.1,2.25,-9999,3844.8,120.9595,23.4876,2017-08-01 04:00:00 UTC,5100,2017-08-01 00:00:00 UTC,0.1711111111111111,572.7777777777778,100.0,25.87777777777778,88.33333333333331,36385.72222222223,101772.55555555556,90.71111111111112,287.84444444444443,2.5566666666666658,3.6577777777777776
001,2017080113,2017,8,1,13,642.6,3141.3,9.7,90,10.5,250.0,0.0,0.1,2.45,-9999,3844.8,120.9595,23.4876,2017-08-01 05:00:00 UTC,5101,2017-08-01 00:00:00 UTC,0.21,640.8666666666664,99.0,23.44444444444445,79.77777777777777,36394.38888888888,101786.33333333331,90.87777777777778,288.0044444444445,3.1077777777777778,3.3177777777777786
001,2017080114,2017,8,1,14,642.5,3134.4,13.4,86,4.7,240.0,0.0,0.7,3.52,6,3844.8,120.9595,23.4876,2017-08-01 06:00:00 UTC,5102,2017-08-01 00:00:00 UTC,0.2633333333333335,675.1777777777778,94.33333333333331,23.11111111111111,70.1111111111111,36390.7,101767.88888888886,87.76666666666668,288.23777777777775,1.5677777777777782,3.7177777777777776
001,2017080115,2017,8,1,15,642.4,3135.4,10.2,90,5.6,250.0,-9998.0,0.1,2.1,-9999,3844.8,120.9595,23.4876,2017-08-01 07:00:00 UTC,5103,2017-08-01 00:00:00 UTC,0.30000000000000004,433.51111111111123,96.0,27.777777777777768,73.88888888888887,36389.99444444445,101776.66666666669,92.98888888888888,287.79444444444437,1.59,2.6299999999999994
001,2017080116,2017,8,1,16,642.2,3136.5,8.8,93,7.6,240.0,0.5,0.0,0.76,-9999,3844.8,120.9595,23.4876,2017-08-01 08:00:00 UTC,5104,2017-08-01 00:00:00 UTC,0.3222222222222221,398.9111111111112,91.11111111111113,34.611111111111114,73.00000000000001,36381.23888888888,101753.33333333331,86.45555555555555,287.9266666666667,0.792222222222222,3.3544444444444443
001,2017080117,2017,8,1,17,641.7,3131.9,6.7,93,13.3,250.0,0.5,0.0,0.65,10,3844.8,120.9595,23.4876,2017-08-01 09:00:00 UTC,5105,2017-08-01 00:00:00 UTC,0.3222222222222221,215.76666666666668,92.66666666666664,28.644444444444453,70.66666666666667,36376.97222222222,101756.66666666669,88.56666666666666,287.42222222222233,0.29,1.994444444444444
