stno,yyyymmddhh,year,month,day,hour,PS01,PS02,TX01,RH01,WD01,WD02,PP01,SS01,SS02,CD11,altitude,longitude,latitude,start_time,number_of_hour,issue_time,APCP,DSWRF,HCDC,LCDC,MCDC,PRES,PRMSL,RH,TMP,UGRD,VGRD
001,2017030108,2017,3,1,8,640.6,3144.7,-3.4,100,5.6,290.0,0.0,0.0,0.0,-9997,3844.8,120.9595,23.4876,2017-03-01 00:00:00 UTC,1424,2017-03-01 00:00:00 UTC,0.0,0.0,0.0,0.0,0.0,36360.772222222215,102370.33333333331,49.8,280.4166666666667,2.56,0.8633333333333334
001,2017030109,2017,3,1,9,641.1,3150.6,-2.4,100,4.8,300.0,0.0,0.0,0.12,-9997,3844.8,120.9595,23.4876,2017-03-01 01:00:00 UTC,1425,2017-03-01 00:00:00 UTC,0.0,619.9555555555555,0.0,10.666666666666666,3.4222222222222225,36357.316666666666,102370.55555555556,72.9222222222222,277.6655555555556,4.8966666666666665,1.0711111111111111
001,2017030110,2017,3,1,10,640.9,3148.4,-2.2,99,6.0,300.0,0.0,0.0,0.41,-9999,3844.8,120.9595,23.4876,2017-03-01 02:00:00 UTC,1426,2017-03-01 00:00:00 UTC,0.0,773.1555555555556,0.0,11.111111111111114,3.6777777777777785,36319.75,102272.88888888886,79.66666666666667,277.5688888888889,5.333333333333333,0.7133333333333336
001,2017030111,2017,3,1,11,640.5,3142.1,-0.3,100,4.0,280.0,0.0,0.0,0.99,-9997,3844.8,120.9595,23.4876,2017-03-01 03:00:00 UTC,1427,2017-03-01 00:00:00 UTC,0.01,632.6222222222221,0.0,19.777777777777775,11.444444444444445,36299.566666666666,102213.77777777775,87.24444444444444,277.50777777777773,5.67111111111111,1.2888888888888892
001,2017030112,2017,3,1,12,640.0,3135.4,-0.6,100,3.6,280.0,0.0,0.1,1.19,-9999,3844.8,120.9595,23.4876,2017-03-01 04:00:00 UTC,1428,2017-03-01 00:00:00 UTC,0.36777777777777776,471.6666666666666,0.0,34.57777777777777,23.788888888888888,36300.12222222224,102214.33333333331,92.86666666666666,277.3077777777777,5.8444444444444414,2.286666666666667
001,2017030113,2017,3,1,13,639.3,3125.7,-0.1,100,4.8,280.0,0.0,0.0,1.1,-9999,3844.8,120.9595,23.4876,2017-03-01 05:00:00 UTC,1429,2017-03-01 00:00:00 UTC,1.89,346.4111111111112,0.0,44.85555555555555,33.18888888888889,36294.78333333333,102177.0,96.74444444444444,277.45444444444445,6.212222222222222,1.157777777777778
001,2017030114,2017,3,1,14,639.0,3123.0,-1.3,93,8.1,330.0,0.0,0.0,1.27,-9997,3844.8,120.9595,23.4876,2017-03-01 06:00:00 UTC,1430,2017-03-01 00:00:00 UTC,3.557777777777777,228.13333333333333,0.0,53.0,35.35555555555556,36263.355555555565,102089.33333333331,97.87777777777778,277.3,6.203333333333332,0.32777777777777783
001,2017030115,2017,3,1,15,639.0,3121.4,-0.3,98,4.9,290.0,0.0,0.1,1.29,-9999,3844.8,120.9595,23.4876,2017-03-01 07:00:00 UTC,1431,2017-03-01 00:00:00 UTC,5.163333333333333,292.9555555555555,0.0,45.75555555555556,29.600000000000005,36256.172222222216,102078.11111111114,97.83333333333331,277.2366666666666,6.028888888888887,1.3855555555555554
001,2017030116,2017,3,1,16,639.0,3123.7,-2.2,96,5.4,310.0,0.0,0.0,0.73,-9999,3844.8,120.9595,23.4876,2017-03-01 08:00:00 UTC,1432,2017-03-01 00:00:00 UTC,6.47,134.76666666666665,0.0,38.48888888888889,26.43333333333333,36269.19444444446,102165.55555555556,97.96666666666668,276.31666666666666,5.741111111111113,2.3399999999999994
001,2017030117,2017,3,1,17,639.0,3124.1,-2.5,100,6.6,300.0,0.0,0.0,0.42,-9997,3844.8,120.9595,23.4876,2017-03-01 09:00:00 UTC,1433,2017-03-01 00:00:00 UTC,6.956666666666668,77.5888888888889,0.0,35.95555555555556,27.45555555555556,36257.272222222215,102165.66666666669,98.07777777777778,275.7055555555555,6.231111111111112,3.293333333333333
